# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Aug 24 13:16:20 CEST 2023 [seed=1692875769957]
# -window -working -options
# keywords: skygrid discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	skygrid
1000000	-11896.750088662891	-1201.7610419443035	-10694.989046718587	165.52322146904692	1852.4767785309532	3766.8607284509876	8.657411936667161	7.923022314550369	7.842986197834708	7.479859531869986	7.529041262653452	7.410745013123908	7.186602038158644	7.463152475324283	7.546298759917922	7.695378826540273	7.526051436764504	8.041838869625309	7.72049781408209	7.087922917487828	6.665021763426853	6.675489458091166	6.254691623622102	6.500127009236873	5.77166323813843	5.918705045717795	6.233422799544774	6.146696668158313	6.541651430032437	6.232040073699225	5.9729656070165795	5.931840973844364	5.89544166348399	5.948112218755906	5.999674848925705	6.198326469722967	5.754403049147358	4.947457767615994	4.695207949315784	4.954567549600796	4.417959762964879	4.133590969840155	4.375351758116393	4.593915605084763	4.494299956054464	3.8378887337611234	3.1444003116349513	2.509783105398799	2.619006336807046	2.274959626057682	2.123447137607709	2.1135082054300023	2.0357960869309872	2.3247140361417507	1.6370600570158111	1.675370089756034	1.9217141325134948	200.0	12.352365050031601	0.21384216491372635	0.28616517798280233	0.25060103829004393	0.24939161881342975	0.13073917818974398	8.04366127062396E-4	4.821745026671235E-4	7.123979206324416E-4	0.5131758591211085	0.07960353154504857	-10694.989046718587	-668.1210644601031	-523.6169086718884
1100000	-11891.97849620238	-1196.6891130130957	-10695.289383189285	197.0295739325823	1820.9704260674177	4784.150658095549	43.39376536222596	7.343806672037052	7.771568357922479	7.717918798445109	7.9967175195020825	7.950029426868168	7.601312023388985	7.548493104163137	7.478547326286723	7.792734764136922	7.967497852042541	7.946577508195373	7.824693659338126	7.710648842224658	7.450248688177096	7.475325398135755	7.409366397804572	7.404337225360397	7.040598011661943	6.663950975549371	6.503915213263496	6.5313418072508655	6.569093367880507	6.048468758273732	6.0093415916758515	5.927985706368103	6.081735914470448	6.206059766120173	6.2286852459675535	6.015115122803865	5.918945581626426	5.985001826395752	5.868702788276318	5.843362751401139	5.839247298878671	5.612506023961454	5.446313705070356	5.561499968576666	5.421518361267006	5.538408252199039	5.208622275440175	5.197202264670607	5.305301013619268	5.143972993609562	5.278784929536673	5.110172941498352	5.085821280127243	4.947238104223711	4.780573129454189	4.760917230678927	4.6842861861217076	200.0	11.853867852738276	0.22077665356749196	0.2697894654129748	0.25163524133737425	0.25779863968216116	0.13347678238760366	6.137766225847958E-4	3.3873443051192004E-4	5.551104220864545E-4	0.5489100716609714	0.05712455303024697	-10695.289383189285	-668.1210644601031	-515.6478975980262
1200000	-11908.769490677718	-1224.4629367955135	-10684.306553882205	194.05954245137983	1823.94045754862	4127.031829967727	2.6793145841836723	6.4556558448768415	6.569885230832515	7.134657176671919	7.659423541707918	7.57361233733254	7.614620595015954	7.388579762206248	8.262436352647963	8.629671562060516	7.992500099734277	7.561419021094861	7.1596369713500865	6.919424505471264	7.962717652610337	8.02578270753925	8.21320364874859	7.376429467515896	6.689303419033506	6.213871813468204	5.824649687621439	6.006309296604362	5.913852482992688	5.9717850605665355	5.662600918657493	6.270332343323504	7.283096953665519	6.3928048764405085	5.182775026034761	5.420393631021211	5.394888674638735	5.348693722877287	4.961010310134551	4.280693584967898	5.294686359234716	5.8085773978603354	5.563628607627514	5.510645261250167	5.98526474622861	5.607482846616277	4.997846490952577	4.5606332654656665	4.716182729038297	3.7975221178855687	3.3996819529449134	3.233458490378955	3.614928743514278	3.1597298677821613	2.8958928102074393	3.4768075733642023	3.7493188725588977	200.0	12.286733802568483	0.2127773297273349	0.27296777954814466	0.26573018153822925	0.24852470918629344	0.13117831564989202	7.092954048979616E-4	3.683078370071833E-4	6.268233126752502E-4	0.4639861024459223	0.1625082132850075	-10684.306553882205	-668.1210644601031	-546.3056736535557
1300000	-11897.701838547071	-1195.7980694813614	-10701.90376906571	201.93959904895294	1816.060400951047	4776.043157619067	19.664872729012973	7.506006555360555	7.386730146475545	7.3759822932552614	7.514658962610417	7.292586441450307	7.515731765473728	7.710205872279433	7.5376897646165695	7.662768675630177	8.009586760410594	8.311876749215662	8.336360939562715	8.109651318927613	7.935380445157985	7.774725327160473	8.040155846491317	8.06233556660046	7.798310779287257	7.804833751468126	7.305393590435918	6.712108529675079	6.289842771847529	6.222137638179496	6.056228949429037	6.418440923273876	6.442932708587162	6.288473373666259	6.547881360850301	6.302753977318747	5.909354044354533	6.060793720229463	5.839485908888565	5.352623210522543	5.363784126059284	5.430085728359566	5.589782762720088	5.755276886772194	5.462109518784879	5.421229461008524	5.222129513743969	5.086045720602419	4.821180459973276	4.819172479151494	4.593959905111415	4.601475674425575	4.747261964678921	4.942811022636881	4.516292178113205	4.420240882904597	4.270585564159391	200.0	11.781528409316376	0.2135625090981855	0.2760464299894516	0.2649269058059351	0.2454641551064302	0.12402588606304896	5.476943532364828E-4	2.3121126813982333E-4	5.289328505321369E-4	0.3800124576175569	0.05358877863852044	-10701.90376906571	-668.1210644601031	-515.4943972815149
1400000	-11903.231089692541	-1221.6233897563131	-10681.607699936229	184.68423198560197	1833.3157680143981	4138.280180277503	2.6618559121167014	8.350695077839823	7.930010587836665	7.606476666919695	7.136042974440645	7.304888292987611	7.869000774956381	7.114794099532088	7.467331391373271	7.421910557841114	7.454974005097603	6.45840046229308	7.54132378462357	7.062366484798458	6.85861389749094	7.456365568313631	7.307437981439825	7.480226770197348	6.54314269439814	6.600263522617282	6.479342338502328	6.932523805275054	6.4937301844447495	6.270965350964741	6.005133522069278	6.622893020100763	6.901535614622198	5.9539458765219	6.104624846635757	6.221215734555148	6.096103542388054	5.15215717776296	4.442830710411825	4.840871285521406	5.246244150514032	5.656123149957748	5.615381883330816	5.609855167790425	5.084029893257011	4.218335438748632	4.058263058965843	4.1050346668848166	3.4470892375639917	2.6478437661629113	2.490445909508889	2.291108432182628	3.0642687779579925	2.1802506573654297	1.8043312575330341	0.6781332425973823	0.3540696002581596	200.0	12.154251570421613	0.22311472939327126	0.27361327808501856	0.25213194053607885	0.2511400519856338	0.13535191409907898	7.93292536249875E-4	4.218686098438459E-4	6.475559350488909E-4	0.540003330837018	0.009696172208558212	-10681.607699936229	-668.1210644601031	-543.7636823958812
1500000	-11879.084558173141	-1203.3012849126785	-10675.783273260462	171.75272408866715	1846.247275911333	3769.6881713202965	5.813993927181355	5.925719297538765	5.9173475080890405	6.455213794338422	6.9317845489702306	7.196168888552282	7.144550112303639	6.822125997539261	7.099400294958066	7.5938836649867945	7.227480178153779	6.666163678951761	7.176241947643426	7.024941366560946	6.922343562883423	6.58336887908578	6.807135417733803	6.888641994481572	5.810183254431184	6.067763170443562	6.644972504283596	6.005990427918195	5.823465396895195	6.191785057370785	6.5451983345971305	5.977086087636948	5.942014726324109	5.995149504170653	5.853865102705231	5.372831955796687	5.728992612792191	5.578069797440704	6.000588590736258	5.28283129953463	4.823179591439275	4.1368230554204874	3.5676518863583175	3.597494674698505	3.058062091744475	3.224167703819347	3.0396404801888526	2.464726596934322	2.4233669310629278	2.5244321727185044	2.1831048755750015	2.091470142250144	1.5591873765184374	1.138202516428097	0.8793070511668044	1.0719414839328782	1.1138751503867308	200.0	10.912364688987642	0.21264108679014054	0.2718620261572719	0.26117171304818726	0.2543251740044025	0.13925865056059888	8.564163366904215E-4	4.593976425436925E-4	7.252816673240135E-4	0.5220199418841105	0.06645673557549929	-10675.783273260462	-668.1210644601031	-525.4159115241595
1600000	-11893.753799064452	-1207.1605907550863	-10686.593208309367	197.99151181833574	1820.0084881816642	4206.42395330834	7.274731372078532	7.404387528459108	7.601454206141641	7.8565692696577925	7.166453726903925	7.37673271767476	7.25289541348343	7.404596494989406	7.482063295171898	7.647723288859364	7.465686863925309	7.352619565788493	7.99225367857069	7.264275496641738	7.3936205458544135	7.414423129277823	7.6431554598762235	7.458446390493018	6.867613627609517	7.307811672937145	7.355436493545166	6.7615225858374135	6.568623063977294	6.649311293372436	6.778742463535728	6.615177752570482	6.300869460966919	5.726622939621554	5.03880722090436	4.605494469963471	4.940939567156588	5.517826649293429	5.341164793236933	5.460219391765825	5.59252240426153	5.204746674380957	5.202161591900159	5.2401381194090995	5.111752370987032	4.469676334297779	4.699787503500857	4.380497365154464	4.0584917840952	4.116903836911183	3.67843784155749	3.407376144116806	3.4493575866809207	3.3595995603697557	3.0023539007295805	2.850647181458204	2.98597198274647	200.0	12.353885132639007	0.23036183632510335	0.2726001023483661	0.25531145835585	0.2417266029706827	0.13563127169447262	6.520982631613134E-4	2.4390171182840824E-4	6.254885507874615E-4	0.38294659800276626	-0.03929323421311609	-10686.593208309367	-668.1210644601031	-527.8633507225829
1700000	-11924.337675276398	-1226.9891506303795	-10697.348524646019	197.30474531122792	1820.6952546887721	4665.1929591543385	4.97032349170036	7.46140307355534	7.174950219714821	7.203385863615219	6.94382334000797	7.412966189584603	7.839157467847303	8.439316018517873	8.058631968125454	8.062806408650685	7.957845891983963	7.217440796907757	7.487460490681714	7.837875948755524	7.485358903788395	7.898517652874492	7.467214944965809	7.159550442980125	6.580906373800842	6.27638309379042	6.283696066757528	6.52500704193549	6.780918530333859	6.14021593578464	6.5863866346021585	6.902816348237035	6.965457222303696	6.945967517611435	6.430461373313479	6.976388290876506	6.521665912329991	6.161722413337701	5.821335504532617	5.717684087631376	5.800684748546315	5.117268290039605	4.628927362772779	4.140952988372214	4.4355112163686625	4.609912742522949	4.171422460435409	3.8444235975090764	3.7116642495416627	3.7062176178646684	3.965931401540642	3.741746041885761	4.140167908463691	3.857726152329063	3.806495537968172	3.5784286853502323	3.4790822010820257	200.0	11.932248750686496	0.22445984514938458	0.2631470072909497	0.25608860863839544	0.2563045389212723	0.1310372782146346	6.394094619905551E-4	2.814327397666813E-4	5.69911947464464E-4	0.40889012235334216	0.10962770965585705	-10697.348524646019	-668.1210644601031	-548.0380739755219
1800000	-11916.945068169236	-1226.215746962117	-10690.72932120712	213.2354741840986	1804.7645258159014	4916.030752143878	11.264082803433281	7.231917698556089	7.46022488220602	7.379739514195314	7.496392873254143	8.054537147961	7.8764932073694025	7.6918785192348285	7.801990950462454	7.206711189850839	7.064103969085356	7.182932352962672	7.5827958734331595	7.51096241126698	7.70818386578114	7.418609712986623	7.430062288991144	7.26191070431957	7.193700874223273	6.904157611359496	6.6703183680712534	6.83843011075124	7.1282429921212485	6.721806247938149	6.863570697077056	6.520448856600082	6.865134509021388	6.7747316840854905	6.714261987284612	6.9066909031814925	6.766270545060425	7.104394485794464	6.656116382902356	6.135867477734307	5.666874271027783	5.311020077112952	5.598975794037929	5.781382257338293	6.221557915617636	5.866517034301635	6.723530696168966	6.121142151602641	5.766881888569671	5.5560935233352655	5.462373722307104	5.056689823787919	5.242445184833782	4.86270794160292	4.78465303998519	5.097998033837846	5.237998551025457	200.0	11.71989541248449	0.2339341689909906	0.264405970696069	0.24229638885167612	0.2593634714612663	0.13914325077949546	5.699855434495673E-4	1.8630319404104015E-4	5.42688543360195E-4	0.28949340964488374	0.020285596980023593	-10690.72932120712	-668.1210644601031	-544.9215782163471
1900000	-11883.68599189868	-1197.281776536994	-10686.404215361685	182.85933188917775	1835.1406681108222	4345.007305970416	12.058739575166372	7.2805466625210205	7.57419895569313	7.626839523671387	8.036644981896977	7.879098927898185	7.555548882611248	7.573371154551555	7.336739745408771	7.584945247411712	7.849518813871692	8.180035404635932	8.12089837296257	7.750965258802258	7.698161186842883	7.411454215048096	7.00185757016339	7.197659179664404	6.927409668688924	6.870079508458503	6.836911968947356	6.6384136906014115	6.510141591504531	6.4856021664381265	6.568199243581292	6.463455986073116	6.3792457184930225	6.046570583434577	6.028815353260082	6.35716652405609	5.821491031108583	5.613358196676669	5.323855865863084	5.205354308465734	4.344123425783988	4.059663576968992	4.08965616890432	4.657349094304177	4.96428778587663	4.715035896302239	4.790770276062096	4.795879791423567	4.293802413963416	3.964998176123925	4.0456614417018235	3.758791016557589	3.7359192024355163	3.7122901889174083	3.5877474112550507	3.4865134579041084	3.8480694167590377	200.0	11.863717744670728	0.2326951349055312	0.27384447444011634	0.24395985748282933	0.24950053317152526	0.13508148113498747	6.705550172603859E-4	3.4357324449042786E-4	6.158762988021574E-4	0.526638096797816	0.13026694134592723	-10686.404215361685	-668.1210644601031	-518.5375600180606
